Reaction_ID,RAS
CYTK1m,0.66667
CYTK1n,117.3333
CYTK2n,117.3333
CYTK3,42
CYTK3n,117.3333
CYTK4,42
CYTK4n,117.3333
CYTK5,117.3333
CYTK5n,117.3333
CYTK6,117.3333
CYTK6n,117.3333
CYTK7,117.3333
CYTK7n,117.3333
CYTK8,117.3333
CYTK8n,117.3333
CYTK9,117.3333
CYTK9n,117.3333
D_3AIBt,NaN
D3AIBTm,0
DADA,8.6667
DADAe,8.6667
DADNK,NaN
DADNt4,25.3333
DAG_HSter,NaN
DAGK_hs,617
DAGKn_hs,83.3333
DAGt,NaN
DALAOXx,0
DALAt2r,68.3333
DALAxt,NaN
DARGOp,0
DASCBH,NaN
DASCBR,102.0001
DASPO1p,0.66666
DATPtn,NaN
DCIm,59
DCK1m,NaN
DCK1n,60.3333
DCK2n,60.3333
DCSPTN1COAtx,NaN
DCSPTN1CPT1,16
DCSPTN1CPT2,13.3333
DCSPTN1CRNt,3
DCSPTN1t,NaN
DCT,1
DCTPtn,NaN
DCYTD,11.6667
DCYTDn,0
DCYTt,25.3333
DDPGAm,NaN
DEBRISOQUINEt,0
DECDPtm,NaN
DEDOLP1_L,NaN
DEDOLP2_L,NaN
DEDOLR_L,NaN
DESAT16_2,955
DESAT18_10,264.3333
DESAT18_3,955
DESAT18_4,955
DESAT18_5,955
DESAT18_6,264.3333
DESAT18_7,264.3333
DESAT18_8,264.3333
DESAT18_9,538.3333
DESAT20_1,274
DESAT20_2,274
DESAT22_1p,NaN
DESAT22_2p,NaN
DESAT24_1,264.3333
DGAT,41.6667
DGCHOLte,NaN
DGCHOLtx,NaN
DGK2m,NaN
DGNSKm,316.6665
DGSNt,25.3333
DGSNtm,NaN
DGTPtn,NaN
DGULND,NaN
DHAAt1r,400.0001
DHCHOLESTANATEtm,NaN
DHCR241r,471
DHCR242r,471
DHCR243r,471
DHCR71r,82.6667
DHCR72r,82.6667
DHCRD1,112.6666
DHCRD2,112.6666
DHDPBMTm,6.6667
DHEASt,38.6666
DHEAStr,NaN
DHEASULT,2.6667
DHEAtr,NaN
DHFtl,NaN
DHFtm,NaN
DHORD9,16.3333
DHPM1,753
DHPM2,420.3333
DHPR2,NaN
DIDPtn,NaN
DIGALSGALSIDEtg,NaN
DIGALSIDEtg,NaN
DIGALSIDEtl,NaN
DINt,25.3333
DITPtn,NaN
DKMPPD,NaN
D_LACt2,315.3333
D_LACtm,39.3333
DLNLCGCPT1,16
DLNLCGCPT2,13.3333
DLNLCGCRNt,3
DLNLCGt,2.6667
DM_13_cis_oretn_n_,NaN
DM_13_cis_retn_n_,NaN
DM_Asn_X_Ser_Thr_ly_,NaN
DM_avite2_c_,NaN
DM_bvite_c_,NaN
DM_core5_g_,NaN
DM_core7_g_,NaN
DM_core8_g_,NaN
DM_datp_m_,NaN
DM_datp_n_,NaN
DM_dctp_m_,NaN
DM_dctp_n_,NaN
DM_dem2emgacpail_prot_hs_r_,NaN
DM_dgpi_prot_hs_r_,NaN
DM_dgtp_m_,NaN
DM_dgtp_n_,NaN
DM_dsT_antigen_g_,NaN
DM_dttp_m_,NaN
DM_dttp_n_,NaN
DM_ethamp_r_,NaN
DM_gncore2_g_,NaN
DM_gpi_sig_er_,NaN
DM_hretn_n_,NaN
DM_kdn_c_,NaN
DM_m_em_3gacpail_prot_hs_r_,NaN
DM_melanin_c_,NaN
DM_mem2emgacpail_prot_hs_r_,NaN
DM_n5m2masn_g_,NaN
DM_oretn_n_,NaN
DM_Ser_Thr_ly_,NaN
DM_Ser_Gly_Ala_X_Gly_ly_,NaN
DM_sprm_c_,NaN
DM_sTn_antigen_g_,NaN
DM_T_antigen_g_,NaN
DM_yvite_c_,NaN
DMANTIPYRINEte,NaN
DMATTx,29
DMGDHm,0.66667
DMGtm,NaN
DMHPTCRNCPT2,NaN
DMHPTCRNt,NaN
DMHPTCRNte,NaN
DMNONCOACRNCPT1,NaN
DMNONCRNCPT2,NaN
DMNONCRNt,NaN
DNADtn,NaN
DNDPt10m,6.6667
DNDPt11m,6.6667
DNDPt12m,6.6667
DNDPt13m,6.6667
DNDPt14m,6.6667
DNDPt15m,6.6667
DNDPt16m,6.6667
DNDPt17m,6.6667
DNDPt18m,6.6667
DNDPt19m,6.6667
DNDPt1m,6.6667
DNDPt20m,6.6667
DNDPt21m,6.6667
DNDPt23m,6.6667
DNDPt24m,6.6667
DNDPt25m,6.6667
DNDPt28m,6.6667
DNDPt2m,6.6667
DNDPt30m,6.6667
DNDPt31m,6.6667
DNDPt32m,6.6667
DNDPt37m,6.6667
DNDPt38m,6.6667
DNDPt39m,6.6667
DNDPt3m,6.6667
DNDPt40m,6.6667
DNDPt41m,6.6667
DNDPt42m,6.6667
DNDPt43m,6.6667
DNDPt44m,6.6667
DNDPt45m,6.6667
DNDPt46m,6.6667
DNDPt47m,6.6667
DNDPt48m,6.6667
DNDPt49m,6.6667
DNDPt4m,6.6667
DNDPt50m,6.6667
DNDPt51m,6.6667
DNDPt52m,6.6667
DNDPt53m,6.6667
DNDPt54m,6.6667
DNDPt55m,6.6667
DNDPt56m,6.6667
DNDPt57m,6.6667
DNDPt58m,6.6667
DNDPt59m,6.6667
DNDPt5m,6.6667
DNDPt60m,6.6667
DNDPt61m,6.6667
DNDPt62m,6.6667
DNDPt63m,6.6667
DNDPt6m,6.6667
DNDPt7m,6.6667
DOGULNO1,NaN
DOLGLCP_Lter,NaN
DOLGPP_Ler,NaN
DOLICHOL_Lter,NaN
DOLICHOL_Uter,NaN
DOLK_L,NaN
DOLK_U,NaN
DOLMANP_Uter,NaN
DOLPGT3_Ler,35
DOLPGT3_Uer,35
DOLPMT3_Uer,19.6667
DOLPMT4_Ler,NaN
DOLPMT4_Uer,NaN
DOPABMO,47.6666
DOPACHRMISO,0.66667
DOPAMT,166
DOPAQNISO1,NaN
DOPASFt,NaN
DOPASULT,54.3332
DOPAt4_2_r,0
DOPAtu,29.6667
DOPAVESSEC,10.6667
DORNOp,0
DPCOAtl,NaN
DPGase,268.3333
DPGM,268.3333
DPHMBDCm,NaN
DPMVDx,32.3333
DPPS,NaN
DRIBt,NaN
DRPA,46.3333
DSAT,NaN
DTDPtn,NaN
DTTPtn,NaN
DUDPtn,NaN
DUMPtn,NaN
DURAD,11.6667
DURAD2,11.6667
DURIK1,367.6667
DURIK1m,30.6667
DURIt,25.3333
DURItn,NaN
DUTPDPm,63.3333
DUTPDPn,44
EAFLATOXINte,NaN
EBASTINEOHte,NaN
EBASTINEOHtr,NaN
EBASTINEte,NaN
EBASTINEtr,NaN
EBP1r,31.6667
EBP2r,31.6667
ECOAH12m,117.3333
ECOAH1m,126
ECOAH1x,51.6667
ECOAH9m,117.3333
EHGLAT2m,204
EHGLATm,204
EICOSTETCPT1,16
EICOSTETCPT2,13.3333
EICOSTETCRNt,3
EICOSTETt,NaN
ELAIDCPT1,16
ELAIDCPT2,13.3333
ELAIDCRNt,3
ELAIDt,0
ENGASE2ly,NaN
ENGASE3ly,NaN
ENGASEly,NaN
ESTRADIOLGLCt,55.6666
ESTRADIOLGLCt2,61
ESTRADIOLGLCtr,NaN
ESTRADIOLt,NaN
ESTRADIOLtr,NaN
ESTRIOLGLCte,130.3333
ESTRIOLGLCtr,NaN
ESTRIOLtr,NaN
ESTRONEGLCt,151.6667
ESTRONEGLCtr,NaN
ESTRONESt,95.3333
ESTRONESt2,0
ESTRONEtr,NaN
ESTSULT,26.6666
ETF,27.3334
ETFQO,7.6667
ETHAK,186.3333
